Label,Question,Question_tokens,Answer,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
5.0,erotomania syndrome - love illusion disease,erotomania syndrom love illus diseas,"Erotomania is considered a mysterious disease, scientists have not found a specific cause. However, many scientists believe that childhood lack of affection easily leads to this disease. The term Erotomania was coined by the French psychiatrist Gaëtan Gatian de Clérambault in 1921. That is why this syndrome is also known as de Clerabault. This is an irresistible disorder, even though the person the patient claims to love them refuses and insists that he does not love them. feel that the person's every action is geared toward showing affection. Patients are proud and delighted when they see, the illusion of love with which their target object is shown. At the same time, they can also quarrel, causing conflicts with other relationships with the object. After the delusional episode, the patient may harass, stalk, and follow his or her subjects; danger. Actions as if in love such as sending flowers, love letters, calling, etc. can all happen. Some cases occur frequently, excessively, in a state of agitation. They can imagine and act on anything that they consider useful, which can impress the object of their love. Treatment of Erotomania is quite difficult because the effects of the disease are complex. The appropriate treatment depends on the condition and severity of the disease. Psychotherapy and antipsychotic support is the best approach. The maintenance of long-term, continuous treatment will help the disease to be in remission and possibly end the disease. Erotomania syndrome is a rather dangerous disease. However, this pathology can be solved by a combination of different methods. It is necessary to detect early and have appropriate treatment methods to help patients overcome this negative psychological state.",,,,,,,,,,,,,,,,,,,,
2.0,how is “reality” different from “reality”?,realiti differ realiti,"Once, an American friend who taught with me said to me: “You Vietnamese people always say that we Americans are pragmatic. We don't live pragmatically, we live realistically. I have been in Vietnam for more than ten years and I see that Vietnamese people live a pragmatic life.” Slightly hot, I asked again: ""So what do you define as pragmatic, what is pragmatism?"". Real life is about understanding your true abilities and values so that you can make the best use of your abilities. To be pragmatic is to defy reality. In fact, regardless of one's real ability, but only concerned with achieving small immediate benefits, in addition, regardless of how serious the consequences later. In the US, students study just enough, don't cram, don't care about achievements and don't have the concept of choosing a school, for them, a degree is just a certificate that they have met the requirements in terms of knowledge and expertise in school. to a certain extent, nothing terrible.What they care about is his ability and knowledge commensurate with his qualifications and position in society.In Vietnam, degrees and Achievement is a measure of status as well as income. Parents force their children to study fiercely to live and die in order to enter a specialized school of their choice and then go to university. After graduating from college, he had to try to swim for a master's degree. All not because of knowledge but only because of position in society. As a result, it doesn't matter what you learn, it doesn't matter if you use it, even a fake degree doesn't matter. The most important thing is to make a lot of money. In the US, every time a building is built, people have to calculate that the nature there is least affected, the ecological balance is least damaged, is the living environment of humans and animals. . artifacts are not destroyed, because they understand that natural resources are invaluable heritage that need to be preserved for future generations. In Vietnam, people just need to earn a little pocket money, people are willing to release poison into the sea, suck sand from rivers, clear forests to build hydroelectric plants, even leveling a unique ecological reserve to build a resort. , attach the cable car despite the consequences later. In America, people care about elections and politics because they know they have citizenship and that every political decision they make has a direct impact on their family's quality of life. In Vietnam, people only worry about making money to support themselves every day and every hour. They are indifferent to the negative injustices of society as long as it does not happen to them. Corruption is rampant, public debt is increasing rapidly, state-owned enterprises are losing trillions of dollars… for them, even drinking beer tomorrow will not be a problem. In America, people show patriotism by aligning their personal interests with the common good and prosperity of the nation. They do not do things that benefit themselves but go against the interests of the community. In Vietnam, people show patriotism by sitting proudly boasting about their nation's history with ancestral feats, or going crazy over a regional soccer tournament or going online without saying a word. curse a certain Westerner who dared to speak ill of Vietnam. The rest they casually use all kinds of malicious tricks to kill their fellow citizens and profit from spreading nails on the street to injecting toxic chemicals into their food. In America, people balance their lives with their religious beliefs. They go to church to find retreat and community activities to help people of the same faith. In Vietnam, people go to pagodas, temples and shrines to pray for wealth, to win the lottery, to pass exams, to seek power... as if the gods would satisfy their bottomless greed for flowers and cheap meat. of mortals. In the US, weddings, funerals, and anniversaries are private events. They keep it simple and formal and invite only people who really mean something to them. In Vietnam, funerals and funerals are a good opportunity to make an expensive publicity, both to prove to the world and to earn a lot of money. In the US, children are taught how to be independent, how to communicate, how to protect themselves from being violated, how to escape… practical skills that people need to survive and thrive in society. In Vietnam, children are crammed with sublime but useless knowledge with the goal of a degree. In the United States, human intelligence and ability are measured by creativity, invention, and contribution to society. It doesn't matter who you are, as long as you contribute to society, you will be recognized and rewarded. In Vietnam, a person's ability is assessed through his background, intelligence and ability to use tricks to advance. Contribution is a distant thing. The pragmatic lifestyle and the pragmatic lifestyle are not the same, although it is easy to confuse. A pragmatic lifestyle brings sustainable and lasting prosperity because it is built on a solid foundation of true values. On the contrary, the pragmatic lifestyle destroys and reverses practical values to create small immediate benefits, leaving incalculable harms. Choosing a pragmatic lifestyle, we will pay a very heavy price for this ill-advised choice.",,,,,,,,,,,,,,,,,,,,
2.0,"the ""heart"" of men, break up then women know.",heart men break woman know,"There is a funny story like this, a man driving a car violates traffic laws, the woman sitting next to him argues with the police and the husband has to intervene. If the driver is a woman, it is likely that when the police come to pay a fine, the woman will argue with the man, and the policeman will come to the rescue. The same is true of marriage, when men make mistakes, they will continue to run, if they have a boyfriend, they will leave with their lover, frankly receiving a ticket is not too controversial. And when women make mistakes, they will jump on the brakes of life and continue to find all sorts of reasons. Some people say that for the sake of their children, for the family, for their husbands, others think that it is the nature of women, so if you flirt with someone and go in a different direction, it's the man's fault, isn't it? right? not from any third party. There are many scenarios for breakups between men and women. But once the bond of sex - sex - money is not strong enough to hold the two together, they have to part because of the final punch: unsatisfied with each other. And so, after breaking up, what do they need to maintain the other's image. Can speak badly, can participate in reality TV shows to denounce ex-spouse/ex-husband. In Vietnam, I often have artists bring ex-wife and ex-husband of ex-wife to the press to break heads with each other. Self-respecting people must have been silent until much later. Not because they don't know pain and loss. I have an old friend, the two broke up amicably and at one point they were still happy. Just because they know, the next life will not be happy anymore, not compatible anymore, the purpose of marriage begins to be different, so it is better to break up sooner. And their pain is not because of the breakup but because they have to try to find some excuse to explain to their colleagues and people. And the wife - about to become ex-wife - told her husband - about to become ex-husband - that: Or we pretend to fight, curse each other loudly, chase each other in the alley, then Late at night pretend to be drunk, then I still divorce Kiss properly? Or pretend to have an affair and then get jealous? In the end, the couple gave up because they couldn't do anything against their self-respect and kindness. They could not find an excuse to explain to the world their amicable parting. They became the bait of the market for a long time. After all, for better or worse, men and women break up, leaving a void in their lives. It's a space where they bond together, make love together, fall in love, spend money together, and argue together.",,,,,,,,,,,,,,,,,,,,
2.0,your life is not a series of bowing days,life seri bow day,"Quyen, a toll collector at the bus station who has just quit his job, said: ""Besides collecting tolls, I don't know what else to do"". This is the root cause of your inner turmoil in the face of change. Verizon, the largest wireless telecommunications service provider in the US, recently faced an unsatisfactory financial report, the company with a market value of up to 220 billion USD has laid off 44,000 employees. in a long time. year. Giving this evidence to say one thing that today's society develops at a rapid pace, today's era is also extremely cruel, facing this world that changes every second, if one has a vision If you have a vision, you know how to arrange yourself a plan B, another way out. In life, there are many people who are satisfied with their current stable job but gradually lose the ability to adapt to change. Quyen, a toll collector at the bus station who has just quit his job, said: ""Besides collecting tolls, I don't know what else to do"". This is the root cause of your inner turmoil in the face of change. Because in that fictional ""stable"", we can relax at 8 am, return at 5 pm, shop freely, leisurely make frog dishes boiled in a pot of warm water, etc. live peacefully through the day. But when change happens, all are confused, confused and don't know what to do. The era we live in is an era of fierce competition, maybe the profession we do today, wake up tomorrow has become obsolete, become a thing of the past, not only that, the one who beats our industry. you may just be some passerby you didn't even notice before. Psychology has a phrase called ""status quo"", which means that almost everyone has a certain tendency to think, aversion to risk, preferring to maintain the status quo. Andrew Stephen 'Andy' Grove, a former executive involved in founding Intel, once said that innovation is the only way to get rid of your old ones, otherwise competition will eliminate them. ta. If you want to last long, don't stay in one place. Rigid, closed thinking will only make your path narrower and narrower, eventually becoming a dead end. So, besides doing well at the current job that you have, try to make time for things outside of work in the world, calmly accepting changes that may come unexpectedly. Adults too, when you have a lot of energy, always look for change, don't stand still, then you can choose to go with someone, live a life like no other. others. This world is full of adventure and instability, and the elite have never dreamed of stability. In fact, there are many things that you cannot grasp. For example, ""all roads lead to Rome"", but weren't there people born in Rome? It's very difficult to get a job that won't change, an industry that will forever grow, or a company that will last forever. So what exactly is the method to combat that uncertainty? The best way is while doing well in your current job, give yourself more career opportunities and exposure to many different specialties. If you can't change the world, change yourself, be a versatile young person. That way, no matter how society changes, you can cope. The only thing that will not betray you is your knowledge and ability. There is no such thing as a stable job in this world, only stable capacity. The collapse of industry giants such as Nokia, Sony or RT-Mart, along with the development of the future AI age, 50% of jobs will disappear, no one will escape the crushing of the wheel of time. grand. If you are not aware of future risks, do not have a plan for it, then no matter how hard you try, when danger comes, you will not be able to withstand it. The longtime employees in the company, every day try their best, but have you ever wondered if it is just an external effort to cover up the laziness deep inside? your mind? On the surface, low-quality handymen appear to be very hardworking. You work so hard every day, but it's just futile hard work; you know many things but know very superficially; you have many skills but you have no knack, you are on the wall but practically know nothing. Real stability is the way you shield yourself from the storm, seize the opportunity to learn, not stay in your bird's nest all day not caring about the world out there. not the teenage years satisfied with feeling comfortable in their comfort zone. In this era, work can betray you, career can betray you, the only thing that won't betray you is your knowledge and ability.",,,,,,,,,,,,,,,,,,,,
5.0,paraphrenia syndrome – the harm of paranoia,paraphrenia syndrom harm paranoia,"Mental illness is one of the diseases that are difficult to explain and lead to many dangerous complications. Understanding the causes and solutions will help solve these diseases permanently. The following article will be information about Paraphrenia syndrome - a mental disorder to help you better understand. Paraphrenia syndrome is a complex of symptoms characterized by a distinctive clinical picture. When suffering from this syndrome, the patient will appear severe delusions and this is also the most serious syndrome. And these are the signs of a person suffering from a mental disorder: – Most commonly, it is a sign of delusions of grandeur, thoughts of abuse and hallucinations. – And Paraphrenia syndrome – a mental disorder that occurs and develops against the background of schizophrenia and is more common than other types of mental disorders. An example of a paranoid syndrome is that it occurs in organic exogenous mental disorders such as syphilis, trauma, etc. In addition, this disorder may be accompanied by signs of prolapse. dementia in old age. and psychosis in old age. - When suffering from Paraphrenia syndrome - a mental disorder, the patient will appear many delusions, hallucinations and psychomotor automatism (can communicate with aliens or have a prominent personality). The treatment of Paraphrenia syndrome has been studied for many years, the disease can be treated at home or in the hospital. With the usual neuroleptic drugs will help patients reduce anxiety, reduce agitation and avoid the bad effects of paranoia. And to effectively treat and solve the problems caused by the disease, inpatient treatment from a doctor will bring high efficiency. For severe conditions, patients will be treated with high doses. and the drug is also stronger. After the active treatment to the end, the patient can gradually reduce the medication and the patient's condition also becomes more markedly improved. Harm of Paraphrenia syndrome - a mental disorder that can be completely cured thanks to the development of medicine. This is a disease that also appears quite a lot that requires recognizing the early signs of the disease so that it can be treated promptly.",,,,,,,,,,,,,,,,,,,,
1.0,"the disease causes 40,000 vietnamese to commit suicide every year",diseas caus vietnames commit suicid year,"According to a report by the Institute of Mental Health (Bach Mai Hospital), each year, in Vietnam, more than 40,000 people commit suicide due to depression. Also in this report, the data shows that about 30% of the population in Vietnam suffers from mental disorders, of which 25% is depressed. It is worth mentioning that when there are signs of depression, the patient himself does not know, the people around him do not notice, causing the disease to worsen, leading to the most serious consequence, suicide. This subjectivity is really dangerous, because it is these seemingly normal signs that are warning us about this disease. According to the International Classification of Diseases (ICD 10) and the International Classification of Diseases (Medical Publishing House), depression has some typical and conspicuous signs as follows: – Likes to be alone, afraid to communicate : This sign can be confused with the patient. personality, but can also be a sign of depression, when the patient likes to be alone in the room, does not like crowded places, and is also afraid to talk to others. – Addicted to social networks, likes to talk online but is closed outside: It can be seen that these people online and outside have completely opposite personalities in a confusing way. Frequent boredom, moodiness: Feeling bored at times is normal, but if it persists for several weeks or more, it should be taken into consideration. Always tired: Tired for no reason, tired even when just sitting in one place, especially when the body is sluggish, lack of vitality, it is impossible to be subjective. Not wanting to work, losing focus in anything: Not only feeling depressed at work, but in anything, the patient is also difficult to concentrate and complete well. – Pessimism, feeling worthless, guilt, loss of faith in life: Sometimes do not understand why the patient still feels that way. - Easy to get angry, irritable: It can be seen that people with depression are easy to get angry for no reason or for very small things, sometimes angry with themselves. Anxiety, or feelings of insecurity: People with depression often worry for very unreasonable reasons, even their own imagination. Insomnia or sleeping a lot: If you suddenly have trouble falling asleep or staying asleep for no apparent reason, it could be a sign of depression. – No longer interested in your hobby: If there is this change, you should consider it immediately. Loss of appetite or become binge-eating, overeating: An obvious consequence of this is a sudden change in weight, affecting both health and psychology. Think about death: This sign appears in nearly half of people with depression. First of all, it should be noted that the early signs of depression are often confused with the usual fatigue and boredom. However, if you have 5 or more signs above, you should not be subjective. - Talk to friends and family for help. This confiding also helps you to relieve your mind, making the disease less severe and preventing the disease from getting worse. Visit a psychologist to determine the extent of the disease and receive timely treatment. To prevent depression, pay more attention to your life: – Avoid overwork, study..., outside of work and study hours, you should take time to relax, think about other things that make you happy. you feel comfortable when you have fun or listen to music, read books… – Make time for your hobbies. In your time budget, you should spend time doing the things you love. - Do not ""stick"" to social networks, need to spend time talking and communicating with people outside. – Regularly move, exercise and participate in outdoor physical activities. - When you have a problem, you should talk to people for help.",,,,,,,,,,,,,,,,,,,,
1.0,dunning – the kruger . effect,dun kruger effect,"Saint of the fool - a name that is strange to us, but its meaning is very good. The Dunning-Kruger effect is about people who pretend to know everything when in fact their knowledge and intelligence are at odds. This psychological effect was announced by an official report in 1999, studied by two teachers David Dunning and Justin Kruger. In order to analyze and demonstrate for everyone to better understand the ""Dunning - Kruger Effect"" effect, teachers and students David Dunning conducted an experiment by testing IQ. Most of the experiments involved their perception. Subjects were tested for cognitive, expressive, and humorous logic. The results show disparities among these people. People who overestimate themselves have very low results compared to the actual situation. People who underestimate themselves have higher results. The Dunning-Kruger (Dunning-Kruger) effect is a perceptual distortion. Incompetent people often lead to the wrong things and it is their own incompetence that prevents this perception. People who are exposed to a new field for the first time, inexperience often make wrong judgments. Also, a lack of knowledge in an area where you jump to conclusions is also a sign that you have fallen into the Dunning-Kruger effect. It is very difficult not to fall into the ""Dunning - Kruger Effect"". If you're trying to think you're not smart or think you're smart about something, reach out to the people around you. From the comments that will give you a better view. Objectivity always yields a proactive outcome. Gaining the necessary experience and knowledge is also a way for you not to get caught up in this effect. We've all probably had this problem at one point or another. Openness, listening, learning will help you develop in the best direction, not Dunning - Kruger.",,,,,,,,,,,,,,,,,,,,
1.0,obsessive-compulsive disorder (ocd),obsessivecompuls disord ocd,"What is Obsessive Compulsive Disorder (OCD)? A disease that has been studied by researchers for many years, compulsive disorder (OCD) is an illness that disturbs the patient's mental state and distorts the patient's thinking and behavior. The patient will have unwanted fears in mind, these fears will appear continuously, causing repetitive compulsive actions. The more the patient wants to release these thoughts, the more stressed they become. And in the end, the patient ends up being unable to release his stress. Depending on the classification, compulsive disorders are also divided into different types. The occurrence of obsessions and compulsions that are not caused by drugs is obsessive-compulsive disorder (OCD). With this disease, the most common symptoms are: – A lot of unwanted images appear in your head, especially violent ones. Feelings of fear of harming others or doing something wrong or of shame. Worrying too much about the body's waste and dirty bacteria around, worrying about serious illness is not reasonable. Besides the above signs, there are also some compulsive behaviors such as waking up many times in the night even though the door is locked or washing hands constantly for fear of infection. When this disease is detected, the patient should immediately go to the medical facilities to be examined and treated by a doctor. Your doctor may prescribe or use medication to control the initial compulsions. Often, the treatment for obsessive-compulsive disorder (OCD) is to find the subconscious habits that cause it. Measures and exercises can then be used to avoid those behaviors and get out of the patient's mind. This disease is completely curable if prescribed by the doctor.",,,,,,,,,,,,,,,,,,,,
2.0,between boundless love is deep sadness,boundless love deep sad,"*Article by Alissa Ambrose, vice president of multimedia creation at StatNews in the US. Just a few weeks after one of the happiest days of my life, it's hard for me to accept the fact that mental illness is quietly taking over my body. Before that, I told myself I was just too tired and exaggerating the symptoms. Come to think of it, many other women feel much worse. That's how I reassured myself, but even when it worked, my mind was still pierced by moments of unbelievably sad. I love my baby more than words can describe. But I have postpartum depression and anxiety disorder. Depression engulfed me before I returned to happiness. It's hard to cope with those realities. For those with postpartum depression, anxiety is always a companion. There are certain times of the day when anxiety strikes. For example, I'm often haunted by the thought that I don't have enough milk for my baby, when I go into the ""moms"" room at the office to pump, and even when I'm composing work emails. On my daily commute, I recall the time when my 9-month-old son accompanied me on this very train. And now, the feeling of being childless in me is like having a part of my body amputated, that part of my body is only reconnected every night when I return home. But at night, watching the baby sleep in the crib next to me, my mind kept spinning and I couldn't sleep. These feelings are shared by me on an online group for mothers. Within hours, I received more than 20 responses. A stranger wrote it as “high functioning depression,” the first term I heard. One mental health expert on the team writes that she regularly sees her patients disregard the reality of the condition they're experiencing and endure - saying it's a symptom in itself. Others also shared that they had a conflict similar to what I was feeling – the conflict between being a loving mother and being lost in your own destiny. In the end, my friends told me about their similar feelings. From all that experience, I realized another truth: Postpartum depression is quite common and many mothers are afraid to talk about it. According to the Centers for Disease Control and Prevention (CDC), depression and anxiety disorders affect about 15% of postpartum women. Common symptoms include depressed mood, trouble sleeping or sleeping too much, guilt, low self-esteem, and even self-harm. Many factors that affect postpartum women can increase the risk of depression including: physical exhaustion, stress in life and lack of support from family and society. To be honest, my personal health history places me in the high-risk category and the midwives at the hospital had to monitor me very closely both before and after the birth. I took the Edinburgh Postpartum Depression Scale test twice, but there were no signs of depression. (The Edinburgh Postpartum Depression Scale includes 10 questions about feelings of sadness, anxiety, panic and fear, as well as asking if they cry, have trouble sleeping or have thoughts of doing it themselves.) at screening, individuals with scores equal to or higher than 10 (on a scale of 30) are considered at risk for depression, scores equal to or greater than 13 are generally considered at risk for major depression). The third time, I took the test again when almost 4 months after giving birth, it was fate that could not be avoided, the results changed. The vague fatigue and ecstasy of motherhood gave way to constant anxiety and depression. I feel like I'm nervous all the time. And there were times when every night I had to cry. Anxiety took a step further to overwhelm me when I realized I had to shoulder both financial and family responsibilities; that I have a career that I don't want to ruin; And another simple thing is that many times I miss my baby - a child that I love so much and feel very lucky to have. Sometimes I feel like I have a few more people living in my body. Recall one Saturday, my wife and I spent the morning with family and friends. We had a nice lunch and chat. But just a few hours later – I felt so exhausted that I couldn't think or do anything – I was paralyzed between two options: should I make a simple dinner now or get ready to take a shower? baby girl bath. Then out of nowhere, a thought appeared, thinking that my family would be better off without me, that I was harming my own child. Thoughts haunting until the night. It wasn't until the next morning when I woke up that I felt a bit better. Mothers with postpartum depression often don't want or don't want help. Among women who face postpartum depression, only about 15% receive treatment. I asked Dr. Lisa Hollier, dean of the American College of Obstetricians and Gynecologists, why is this number so low? She told me that one of the biggest barriers is society's lack of effective mental health services. This I understand. I made an appointment with a counselor, but it was the result of weeks of back-and-forth phone calls, having to schedule a morning off work, and finding a babysitter. It also requires willpower to get me from home to the hospital, which is a 2 hour drive away. I have many advantages over other women – such as good prenatal and postnatal care, 12 weeks of paid leave and support from family, for example. I also have the flexibility to work from home when needed. I have good health insurance. I live in a city with some of the best hospitals in the world. However, I still have to seek more help because sometimes I feel like I just can't get through. At the time of this writing, my baby is 6 months old. I've just come out of the fog on some medication, I'm well-rested and fortunately there are many daycares in the area that allow me to spend more time with my daughter. I feel lucky that these simple changes have made things better. I will soon have my first appointment with a mental health provider with whom I look forward to a long term relationship. It was the result of months of searching for a hospital that accepted my health insurance and accepted a new client. Having a baby is an experience that has both the very ordinary and the extremely shocking sides. Now is the time to know that boundless love and deepest sadness can – and often – come at the same time. Childbirth is painful, beyond the physical pain of hours and days of labor. However, many women still leave scars on their bodies and minds, as well as the worries and joys of motherhood. I pushed myself to admit my feelings and condition to friends and family, instead of hiding it. Often women will want to tell their stories and struggles. But there are still stigmas surrounding this issue – and it is shame that can silence us.",,,,,,,,,,,,,,,,,,,,
2.0,“alice in wonderland” sickness haunts your life,alic wonderland sick haunt life,"The first signs to recognize Alice syndrome are migraine headaches, vision and hearing are affected and cause hallucinations of the surroundings and one's own body. Patients with the disease always feel confused about the size and body parts, may see the body getting bigger or smaller. This is a very rare disease in the world and is told from the girl Abigail Moss, she has spent a long time of her life living with this disease. According to her account, she saw everything in the room getting smaller and moving and her body getting bigger, so she was very scared. She really didn't know she was suffering from this disease until she read a series of articles about the disease. According to recent studies, Alice in Wonderland syndrome - AIWS is caused by sensitization of the brain and usually begins in the occipital lobe, the back visual area of the brain. However, in some cases, the pain can spread to the margins and apex. And it is these areas that are the brain regions that determine the size and shape of objects that cause this syndrome. According to a biological study of patients, it has been concluded that hallucinations carry some kind of visual poison and that impairment can cause symptoms such as looking at things too big, seeing things too much. much. small or looking at objects that are too far away. This greatly affects the patient's life, causing them to hallucinate and have a different outlook on life. Alice in Wonderland Syndrome – AIWS is a very rare disease in the world today, but the possibility that the disease will cause patients a lot of obstacles in life. But with proper treatment, this disease can be cured and return to the patient's normal life.",,,,,,,,,,,,,,,,,,,,
5.0,spotlight effect,spotlight effect,"Spotlight effect) by Thomas Gilovich and his colleagues in 2000. Through a simple phenomenon, researchers analyzed and demonstrated this phenomenon. . In fact, this effect is very common and everyone suffers from it. When a person cares about how people see them by their appearance and appreciates that concern. To learn about today's research, Thomas Gilovich and his colleagues applied an individual approach to each research object. The audience here is students. They gave one of the students in the division a Barry Manilow T-shirt. The people wearing this shirt are estimated to be about half of the people there recognize. However, the reality is only ¼ of the total number of people. In another study, a group of people were talking. When a person makes a good statement or misrepresents an issue, immediately observe how people see him. Simply put, the spotlight effect is how people appreciate how others see them. See yourself as the navel of the universe and others to take care of you. Compared to reality, each of us is just a grain of sand in this vast world and not to the extent we think. Caring about how people think of us is good, but being overly concerned is not. Instead of going overboard with people who care about you, you should get rid of it. Instead of feeling confused when you make a mistake, watching people notice if you have a new shirt on, relax and think freely. You are exaggerating your influence on those around you. Simply put, getting out of the spotlight will make you more comfortable in front of a crowd. You can be confident in yourself, do what you want without having to think about the people around you. You will be most confident, most beautiful when you are yourself. Don't care what others think of you or be self-centered. Live comfortably to make everything easier.",,,,,,,,,,,,,,,,,,,,
5.0,the veblen effect-everybody has to face the disease,veblen effecteverybodi face diseas,"The Veblen effect, also known as conspicuous consumption theory, was developed by an economist from his experiments. This effect is named after its creator. His findings reveal the human emotional influence on consumers' product consumption. He conducts surveys on the happiness and satisfaction of individuals when purchasing valuable products. As a result, people are happier buying expensive consumables. Not only that, buying behavior is also influenced by other shoppers, especially in high-value items. According to research by economist Thorstein Veblen, items that have a stimulating effect are those of great value. After research, these goods are called Veblen goods. According to Veblen's research, the Veblen effect contributes to uncovering the cause of demand stimulus in trade. The first cause is jealousy. Those who lack the conditions often tend to like to show off to hide this. Accordingly, they choose valuable products or Veblen goods. The second reason is pride. Most people want to show their reputation by flaunting their branded products. This is one of the common consumer behaviors. It is by discovering these two fundamental reasons that brands have attracted many customers. After studying the Veblen effect, many businessmen have hit on the customer's preference to show off. Brands should apply communication and product promotion measures in line with this buying psychology. This will stimulate demand to increase significantly. Not only that, Veblen effect can be applied in consumer behavior orientation. Savvy consumers can also self-regulate their behavior so as not to get caught up in the flow of the Veblen effect. This makes wallet control more efficient. Especially for shopaholics like women.",,,,,,,,,,,,,,,,,,,,
5.0,the zeigarnik effect - causes of procrastination at work,zeigarnik effect caus procrastin work,"The research problem began to appear in 1972. When the Russian psychologist, Zeigarnik, observed a peculiar phenomenon in a restaurant in Vienna. She observed that staff here only remember the dish when it is in the process of serving. After washing the dishes, the staff left the dishes. From this strange phenomenon, she began to conduct an experiment to find out what was happening. Zeigarnik started his research with 20 missions for many people. The tasks she gave the surveyors were relatively simple, sometimes just solving trick puzzles. After completing 20 tasks for the subjects, she asked the question: Which task do you remember. As a result, all the participants remembered the tasks they didn't complete or were interrupted. What is the reason? What does this research have to do with procrastination at work? The truth is that even after the study ended, 90% continued to find answers to disruption challenges. As a result, when people start doing that old thing, they're more likely to finish it. Therefore, just starting to work, no matter how difficult it is, you will try to do it until the end. Going back to the phenomenon that Zeigarnik first observed. In fact, the waiters only noticed the dishes when they started making it. With dishes that have been served will quickly be forgotten. Thanks to Zeigarnik's research, the zeigarnik effect was discovered and effectively supported in solving psychological phenomena in life. The disease of procrastination is one of the factors that slow down the progress of work. The proposed plans did not achieve the desired effect. To thoroughly solve this problem and improve the quality of work, it is necessary to properly apply the principle of the Zeigarnik effect. Start any job anywhere. Whatever your job, start with the simplest. Only when starting to do do you have the determination to complete. So never shirk the task. Be ready to get started. This is the secret to solving any task as quickly as possible.",,,,,,,,,,,,,,,,,,,,
